type,geometry,properties
Feature,"{ ""type"": ""Point"",""coordinates"": [ 145.76510,-0.68469 ] }","{ ""name"": ""+00.68_+145.77""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 145.77539,-0.75693 ] }","{ ""name"": ""+00.76_+145.78""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 145.34619,2.25645 ] }","{ ""name"": ""+02.26_+145.35""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 145.33588,2.32869 ] }","{ ""name"": ""+02.33_+145.34""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 144.91520,5.26971 ] }","{ ""name"": ""+05.27_+144.92""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 144.90483,5.34194 ] }","{ ""name"": ""+05.34_+144.90""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 144.48001,8.28266 ] }","{ ""name"": ""+08.28_+144.48""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 144.46950,8.35488 ] }","{ ""name"": ""+08.35_+144.47""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 144.03809,11.29513 ] }","{ ""name"": ""+11.30_+144.04""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 144.02740,11.36734 ] }","{ ""name"": ""+11.37_+144.03""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 143.58679,14.30694 ] }","{ ""name"": ""+14.31_+143.59""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 143.57584,14.37913 ] }","{ ""name"": ""+14.38_+143.58""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 143.12322,17.31787 ] }","{ ""name"": ""+17.32_+143.12""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 143.11193,17.39004 ] }","{ ""name"": ""+17.39_+143.11""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 142.64419,20.32770 ] }","{ ""name"": ""+20.33_+142.64""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 142.63249,20.39984 ] }","{ ""name"": ""+20.40_+142.63""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ -158.02092,21.32524 ] }","{ ""name"": ""+21.33_-158.02""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ -158.09860,21.32521 ] }","{ ""name"": ""+21.33_-158.10""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ -158.11408,21.32647 ] }","{ ""name"": ""+21.33_-158.11""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ -158.12938,21.32898 ] }","{ ""name"": ""+21.33_-158.13""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ -158.14439,21.33273 ] }","{ ""name"": ""+21.33_-158.14""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ -158.15899,21.33769 ] }","{ ""name"": ""+21.34_-158.16""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ -158.17307,21.34380 ] }","{ ""name"": ""+21.34_-158.17""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ -158.07932,21.34504 ] }","{ ""name"": ""+21.35_-158.08""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ -158.18653,21.35104 ] }","{ ""name"": ""+21.35_-158.19""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 114.32889,22.22964 ] }","{ ""name"": ""+22.23_+114.33""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 114.39126,22.22533 ] }","{ ""name"": ""+22.23_+114.39""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 114.45146,22.24103 ] }","{ ""name"": ""+22.24_+114.45""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 114.27187,22.25344 ] }","{ ""name"": ""+22.25_+114.27""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 114.50224,22.27484 ] }","{ ""name"": ""+22.27_+114.50""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 114.20412,22.33258 ] }","{ ""name"": ""+22.332_+114.204""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 114.00512,22.34549 ] }","{ ""name"": ""+22.35_+114.01""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 114.01940,22.35142 ] }","{ ""name"": ""+22.35_+114.02""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 114.03306,22.35848 ] }","{ ""name"": ""+22.36_+114.03""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 114.04600,22.36661 ] }","{ ""name"": ""+22.37_+114.05""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 114.05365,22.38207 ] }","{ ""name"": ""+22.38_+114.05""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 114.05813,22.37576 ] }","{ ""name"": ""+22.38_+114.06""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ -160.89364,22.76753 ] }","{ ""name"": ""+22.77_-160.89""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 142.14613,23.33617 ] }","{ ""name"": ""+23.34_+142.15""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 142.13393,23.40828 ] }","{ ""name"": ""+23.41_+142.13""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ -162.66551,23.57396 ] }","{ ""name"": ""+23.57_-162.67""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 116.80042,23.85551 ] }","{ ""name"": ""+23.86_+116.80""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 116.37445,23.94630 ] }","{ ""name"": ""+23.95_+116.37""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ -163.77093,24.14013 ] }","{ ""name"": ""+24.14_-163.77""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ -165.57860,24.91314 ] }","{ ""name"": ""+24.91_-165.58""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 118.11606,25.07233 ] }","{ ""name"": ""+25.07_+118.12""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 55.51182,25.19831 ] }","{ ""name"": ""+25.20_+055.51""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 55.44912,25.20987 ] }","{ ""name"": ""+25.21_+055.45""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 55.57510,25.20684 ] }","{ ""name"": ""+25.21_+055.58""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 55.63135,25.23445 ] }","{ ""name"": ""+25.23_+055.63""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 119.15821,25.40180 ] }","{ ""name"": ""+25.40_+119.16""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ -166.70939,25.45765 ] }","{ ""name"": ""+25.46_-166.71""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 118.75503,25.47537 ] }","{ ""name"": ""+25.48_+118.76""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 118.74513,25.48600 ] }","{ ""name"": ""+25.49_+118.75""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ -168.55421,26.19452 ] }","{ ""name"": ""+26.19_-168.55""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 127.64184,26.28164 ] }","{ ""name"": ""+26.28_+127.64""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 127.64257,26.29610 ] }","{ ""name"": ""+26.30_+127.64""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 127.64470,26.31045 ] }","{ ""name"": ""+26.31_+127.64""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 127.64822,26.32457 ] }","{ ""name"": ""+26.32_+127.65""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 127.65310,26.33837 ] }","{ ""name"": ""+26.34_+127.65""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 141.62497,26.34300 ] }","{ ""name"": ""+26.34_+141.62""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 127.65930,26.35173 ] }","{ ""name"": ""+26.35_+127.66""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 127.66678,26.36456 ] }","{ ""name"": ""+26.36_+127.67""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 127.67548,26.37675 ] }","{ ""name"": ""+26.38_+127.68""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 127.68534,26.38822 ] }","{ ""name"": ""+26.39_+127.69""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 127.69627,26.39888 ] }","{ ""name"": ""+26.40_+127.70""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 127.70820,26.40864 ] }","{ ""name"": ""+26.41_+127.71""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 141.61216,26.41506 ] }","{ ""name"": ""+26.42_+141.61""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 120.54066,26.57286 ] }","{ ""name"": ""+26.57_+120.54""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ -169.71140,26.71542 ] }","{ ""name"": ""+26.72_-169.71""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 58.54593,26.78858 ] }","{ ""name"": ""+26.79_+058.55""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 121.57645,26.90953 ] }","{ ""name"": ""+26.91_+121.58""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 121.19613,26.96506 ] }","{ ""name"": ""+26.97_+121.20""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 121.17930,26.98449 ] }","{ ""name"": ""+26.98_+121.18""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ -171.59438,27.41335 ] }","{ ""name"": ""+27.41_-171.59""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ -172.77872,27.90866 ] }","{ ""name"": ""+27.91_-172.78""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 129.54037,27.93587 ] }","{ ""name"": ""+27.94_+129.54""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 123.02871,28.03125 ] }","{ ""name"": ""+28.03_+123.03""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 61.54153,28.28211 ] }","{ ""name"": ""+28.28_+061.54""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 124.05922,28.37497 ] }","{ ""name"": ""+28.37_+124.06""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 123.70170,28.41160 ] }","{ ""name"": ""+28.41_+123.70""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 123.67822,28.44004 ] }","{ ""name"": ""+28.44_+123.68""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 77.08765,28.56120 ] }","{ ""name"": ""+28.561_+077.087""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ -174.70046,28.56483 ] }","{ ""name"": ""+28.56_-174.70""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ -175.91243,29.03249 ] }","{ ""name"": ""+29.03_-175.91""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 141.07599,29.34784 ] }","{ ""name"": ""+29.35_+141.08""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 141.06244,29.41985 ] }","{ ""name"": ""+29.42_+141.06""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 125.58402,29.44362 ] }","{ ""name"": ""+29.44_+125.58""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 131.42854,29.43884 ] }","{ ""name"": ""+29.44_+131.43""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ -177.87305,29.64407 ] }","{ ""name"": ""+29.64_-177.87""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 64.62040,29.70846 ] }","{ ""name"": ""+29.71_+064.62""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 126.61042,29.79418 ] }","{ ""name"": ""+29.79_+126.61""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 126.27551,29.81104 ] }","{ ""name"": ""+29.81_+126.28""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 126.24572,29.84870 ] }","{ ""name"": ""+29.85_+126.25""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ -179.11279,30.08205 ] }","{ ""name"": ""+30.08_-179.11""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 178.88810,30.64620 ] }","{ ""name"": ""+30.65_+178.89""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 128.21013,30.80584 ] }","{ ""name"": ""+30.81_+128.21""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 133.37294,30.91438 ] }","{ ""name"": ""+30.91_+133.37""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 177.62085,31.05246 ] }","{ ""name"": ""+31.05_+177.62""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 67.78565,31.06160 ] }","{ ""name"": ""+31.06_+067.79""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 128.92101,31.15921 ] }","{ ""name"": ""+31.16_+128.92""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 129.23371,31.16302 ] }","{ ""name"": ""+31.16_+129.23""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 128.88533,31.20629 ] }","{ ""name"": ""+31.21_+128.89""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 175.58426,31.56643 ] }","{ ""name"": ""+31.57_+175.58""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 174.29014,31.93895 ] }","{ ""name"": ""+31.94_+174.29""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 130.91023,32.11362 ] }","{ ""name"": ""+32.11_+130.91""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 71.03951,32.33527 ] }","{ ""name"": ""+32.34_+071.04""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 140.49362,32.35030 ] }","{ ""name"": ""+32.35_+140.49""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 135.37761,32.35993 ] }","{ ""name"": ""+32.36_+135.38""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 172.21772,32.40005 ] }","{ ""name"": ""+32.40_+172.22""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 140.47920,32.42224 ] }","{ ""name"": ""+32.42_+140.48""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 131.64127,32.45176 ] }","{ ""name"": ""+32.45_+131.64""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 131.93233,32.47714 ] }","{ ""name"": ""+32.48_+131.93""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 131.60022,32.50845 ] }","{ ""name"": ""+32.51_+131.60""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 170.89787,32.73689 ] }","{ ""name"": ""+32.74_+170.90""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 168.79193,33.14258 ] }","{ ""name"": ""+33.14_+168.79""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 133.68700,33.36248 ] }","{ ""name"": ""+33.36_+133.69""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 167.44793,33.44190 ] }","{ ""name"": ""+33.44_+167.45""}"
