"","Start","ID","Type","Via","Altitude(ft/m)","Position (lat/long)","Distance (leg/total)","Name","URL"
"1","O","VVNB","APT","-","0 / 0","21.21974 / 105.80377","- / 0 nm","Hanoi Noibai Intl","https://flightplandatabase.com/plan/87005"
"2","•","PLK","NDB","-","0 / 0","36.62756 / -93.22991","7172  / 7172 nm","POINT LOOKOUT NDB","https://flightplandatabase.com/plan/87005"
"3","•","BMT","VOR","-","0 / 0","12.66650 / 108.12300","7612  / 14785 nm","BUON MA THUOT VOR-DME","https://flightplandatabase.com/plan/87005"
"4","O","VVTS","APT","-","0 / 0","10.81875 / 106.65173","140  / 14925 nm","TAN SON NHAT INTL","https://flightplandatabase.com/plan/87005"
"5","O","VVNB","APT","-","0 / 0","21.21974 / 105.80377","- / 0 nm","Hanoi Noibai Intl","https://flightplandatabase.com/plan/1203154"
"6","•","NL","NDB","-","32,400 / 9,876","22.36667 / 106.86667","90  / 90 nm","LONGZHOU NDB","https://flightplandatabase.com/plan/1203154"
"7","•","BSE","VOR","-","35,000 / 10,668","23.89500 / 106.64833","92  / 183 nm","BOSE VOR-DME","https://flightplandatabase.com/plan/1203154"
"8","•","KWE","VOR","-","35,000 / 10,668","26.52000 / 106.79500","157  / 341 nm","GUIYANG VOR-DME","https://flightplandatabase.com/plan/1203154"
"9","•","GORMO","FIX","W3 (AWY-LO)","35,000 / 10,668","27.19167 / 106.75667","40  / 381 nm","","https://flightplandatabase.com/plan/1203154"
"10","•","NIKUN","FIX","W3 (AWY-LO)","35,000 / 10,668","27.98833 / 106.71333","47  / 429 nm","","https://flightplandatabase.com/plan/1203154"
"11","•","QJG","VOR","W3 (AWY-LO)","35,000 / 10,668","29.04667 / 106.65333","63  / 493 nm","QIJIANG VOR-DME","https://flightplandatabase.com/plan/1203154"
"12","•","DS","NDB","-","35,000 / 10,668","30.20000 / 106.84500","69  / 563 nm","HELIUSHUI NDB","https://flightplandatabase.com/plan/1203154"
"13","•","ANSAR","FIX","W31 (AWY-LO)","35,000 / 10,668","30.65333 / 106.35500","37  / 600 nm","","https://flightplandatabase.com/plan/1203154"
"14","•","SUBUL","FIX","-","35,000 / 10,668","32.32833 / 106.71000","102  / 702 nm","","https://flightplandatabase.com/plan/1203154"
"15","•","NSH","VOR","G212 (AWY-LO)","35,000 / 10,668","33.31833 / 108.31167","100  / 803 nm","NINGSHAN VOR-DME","https://flightplandatabase.com/plan/1203154"
"16","•","ZS","NDB","G212 (AWY-LO)","35,000 / 10,668","34.22167 / 108.85333","60  / 863 nm","YANZHUANG NDB","https://flightplandatabase.com/plan/1203154"
"17","•","OD","NDB","G212 (AWY-LO)","35,000 / 10,668","34.59833 / 108.91667","22  / 886 nm","SANYUAN NDB","https://flightplandatabase.com/plan/1203154"
"18","•","YIJ","VOR","G212 (AWY-LO)","35,000 / 10,668","35.38000 / 109.10667","47  / 934 nm","YIJUN VOR-DME","https://flightplandatabase.com/plan/1203154"
"19","•","GUPAD","FIX","G212 (AWY-LO)","35,000 / 10,668","36.31167 / 110.47333","86  / 1021 nm","","https://flightplandatabase.com/plan/1203154"
"20","•","TYN","VOR","G212 (AWY-LO)","35,000 / 10,668","37.75167 / 112.62000","134  / 1155 nm","TAIYUAN VOR-DME","https://flightplandatabase.com/plan/1203154"
"21","•","NONIT","FIX","G212 (AWY-LO)","35,000 / 10,668","38.68000 / 113.93333","83  / 1239 nm","","https://flightplandatabase.com/plan/1203154"
"22","•","KR","NDB","G212 (AWY-LO)","35,000 / 10,668","39.14500 / 114.60000","41  / 1280 nm","NANCHENGZI NDB","https://flightplandatabase.com/plan/1203154"
"23","•","TZH","VOR","B458 (AWY-LO)","35,000 / 10,668","40.41167 / 114.05000","80  / 1361 nm","","https://flightplandatabase.com/plan/1203154"
"24","•","TMR","VOR","B458 (AWY-LO)","35,000 / 10,668","41.84500 / 113.15000","95  / 1456 nm","TUMURTAI VOR-DME","https://flightplandatabase.com/plan/1203154"
"25","•","POLHO","FIX","G218 (AWY-LO)","35,000 / 10,668","44.78333 / 113.25000","176  / 1632 nm","","https://flightplandatabase.com/plan/1203154"
"26","•","MENOR","FIX","G218 (AWY-LO)","35,000 / 10,668","46.49727 / 114.03159","108  / 1740 nm","","https://flightplandatabase.com/plan/1203154"
"27","•","DORUT","FIX","G218 (AWY-LO)","35,000 / 10,668","48.19919 / 114.86087","107  / 1848 nm","","https://flightplandatabase.com/plan/1203154"
"28","•","4900N11500E","LATLON","-","35,000 / 10,668","49.00000 / 115.00000","48  / 1896 nm","","https://flightplandatabase.com/plan/1203154"
"29","•","SULOK","FIX","-","35,000 / 10,668","49.90000 / 115.75000","61  / 1958 nm","","https://flightplandatabase.com/plan/1203154"
"30","•","NAREM","FIX","B161 (AWY-LO)","35,000 / 10,668","50.38389 / 116.45056","39  / 1998 nm","","https://flightplandatabase.com/plan/1203154"
"31","•","DIBOR","FIX","G496 (AWY-LO)","35,000 / 10,668","51.60889 / 117.59556","85  / 2083 nm","","https://flightplandatabase.com/plan/1203154"
"32","•","SOVIT","FIX","G496 (AWY-LO)","35,000 / 10,668","52.80500 / 118.78833","84  / 2167 nm","","https://flightplandatabase.com/plan/1203154"
