pathID,coordinates
100002,"[ 113.91461,22.30899 ]"
100002,"[ 115.82333,22.28833 ]"
100002,"[ 117.50000,22.33333 ]"
100002,"[ 118.54172,22.95506 ]"
100002,"[ 119.63728,23.59544 ]"
100002,"[ 120.09417,24.00250 ]"
100002,"[ 120.78333,24.64000 ]"
100002,"[ 121.52222,25.17694 ]"
100002,"[ 122.20778,25.41917 ]"
100002,"[ 122.48056,25.50750 ]"
100002,"[ 123.00000,25.90556 ]"
100002,"[ 124.00000,26.65861 ]"
100002,"[ 124.99827,27.39776 ]"
100002,"[ 127.96575,29.52701 ]"
100002,"[ 129.91583,30.84467 ]"
100002,"[ 132.39624,32.12519 ]"
100002,"[ 133.40956,32.65369 ]"
100002,"[ 134.23425,33.06203 ]"
100002,"[ 134.99722,33.24878 ]"
100002,"[ 135.44150,33.36450 ]"
100002,"[ 135.79450,33.44775 ]"
100002,"[ 136.70648,33.68941 ]"
100002,"[ 137.92017,33.99861 ]"
100002,"[ 138.37891,34.22225 ]"
100002,"[ 139.78855,35.54825 ]"
1000088,"[ -118.48984,34.21072 ]"
1000088,"[ -119.64145,35.25590 ]"
1000088,"[ -119.97861,35.64697 ]"
1000088,"[ -122.22358,37.72592 ]"
1000088,"[ -122.49204,37.87422 ]"
1000088,"[ -122.64353,37.95736 ]"
1000088,"[ -122.86783,38.07976 ]"
1000088,"[ -123.27433,39.05322 ]"
1000088,"[ -124.02856,39.76972 ]"
1000088,"[ -125.00000,40.00000 ]"
1000088,"[ -130.00000,42.00000 ]"
1000088,"[ -135.00000,44.00000 ]"
1000088,"[ -140.00000,45.00000 ]"
1000088,"[ -145.00000,46.00000 ]"
1000088,"[ -150.00000,47.00000 ]"
1000088,"[ -155.00000,48.00000 ]"
1000088,"[ -160.00000,49.00000 ]"
1000088,"[ -165.00000,49.00000 ]"
1000088,"[ -170.00000,49.00000 ]"
1000088,"[ -175.00000,49.00000 ]"
1000088,"[ -180.00000,49.00000 ]"
1000088,"[ 175.00000,48.00000 ]"
1000088,"[ 170.00000,48.00000 ]"
1000088,"[ 168.78311,48.67567 ]"
1000088,"[ 162.31000,46.41500 ]"
1000088,"[ 156.04169,43.20131 ]"
1000088,"[ 150.47736,39.62815 ]"
1000088,"[ 146.91605,38.25484 ]"
1000088,"[ 143.99636,37.00321 ]"
1000088,"[ 140.26299,35.78359 ]"
1000088,"[ 139.78855,35.54825 ]"
1000302,"[ 139.78855,35.54825 ]"
1000302,"[ 139.69898,36.39121 ]"
1000302,"[ 139.20634,37.71875 ]"
1000302,"[ 139.11489,37.95829 ]"
1000302,"[ 138.94203,38.12100 ]"
1000302,"[ 138.57069,38.46923 ]"
1000302,"[ 137.74679,39.23611 ]"
1000302,"[ 137.83174,40.00269 ]"
1000302,"[ 138.25333,43.60333 ]"
1000302,"[ 138.60167,46.41667 ]"
1000302,"[ 138.70106,47.20014 ]"
1000302,"[ 139.28944,47.76694 ]"
1000302,"[ 139.14611,47.90528 ]"
1000302,"[ 138.14278,49.10528 ]"
1000302,"[ 137.23611,50.09028 ]"
1000302,"[ 136.93333,50.40833 ]"
1000302,"[ 135.99278,51.90528 ]"
1000302,"[ 134.85278,53.60194 ]"
1000302,"[ 134.43944,54.17861 ]"
1000302,"[ 133.48139,55.45389 ]"
1000302,"[ 132.90167,56.17333 ]"
1000302,"[ 131.77444,57.50889 ]"
1000302,"[ 130.65111,58.75056 ]"
1000302,"[ 130.33333,60.01667 ]"
1000302,"[ 129.77068,62.09325 ]"
1000302,"[ 129.52639,65.66222 ]"
1000302,"[ 129.35000,67.65833 ]"
1000302,"[ 129.19000,69.27000 ]"
1000302,"[ 128.90303,71.69767 ]"
1000302,"[ 130.31222,73.02083 ]"
1000302,"[ 130.00000,74.00000 ]"
1000302,"[ 125.00000,76.00000 ]"
1000302,"[ 125.00000,77.00000 ]"
1000302,"[ 120.00000,79.00000 ]"
1000302,"[ 115.00000,80.00000 ]"
1000302,"[ 110.00000,81.00000 ]"
1000302,"[ 105.00000,82.00000 ]"
1000302,"[ 100.00000,83.00000 ]"
1000302,"[ 95.00000,84.00000 ]"
1000302,"[ 85.00000,85.00000 ]"
1000302,"[ 80.00000,85.00000 ]"
1000302,"[ 75.00000,85.00000 ]"
1000302,"[ 70.00000,85.00000 ]"
1000302,"[ 65.00000,85.00000 ]"
1000302,"[ 60.00000,85.00000 ]"
1000302,"[ 55.00000,85.00000 ]"
1000302,"[ 50.00000,85.00000 ]"
1000302,"[ 45.00000,85.00000 ]"
1000302,"[ 40.00000,85.00000 ]"
1000302,"[ 35.00000,85.00000 ]"
1000302,"[ 30.00000,85.00000 ]"
1000302,"[ 25.00000,85.00000 ]"
1000302,"[ 20.00000,85.00000 ]"
1000302,"[ 10.00000,84.00000 ]"
1000302,"[ 5.00000,83.00000 ]"
1000302,"[ 0.00000,82.00000 ]"
1000302,"[ -5.00000,81.00000 ]"
1000302,"[ -10.00000,80.00000 ]"
1000302,"[ -15.00000,79.00000 ]"
1000302,"[ -15.00000,78.00000 ]"
1000302,"[ -20.00000,76.00000 ]"
1000302,"[ -20.00000,75.00000 ]"
