"","Start","ID","Type","Via","Altitude(ft/m)","Position (lat/long)","Distance (leg/total)","Name","URL"
"1","O","SCEL","APT","-","0 / 0","-33.38978 / -70.79437","- / 0 nm","Arturo Merino Benitez Intl","https://flightplandatabase.com/plan/1048871"
"2","•","ALBAL","FIX","-","24,300 / 7,407","-34.18333 / -69.81667","68  / 68 nm","","https://flightplandatabase.com/plan/1048871"
"3","•","SRA","VOR","M424 (AWY-LO)","35,000 / 10,668","-34.58944 / -68.39472","74  / 142 nm","SAN RAFAEL VOR","https://flightplandatabase.com/plan/1048871"
"4","•","UTRET","FIX","UW68 (AWY-HI)","35,000 / 10,668","-35.46972 / -64.76361","186  / 329 nm","","https://flightplandatabase.com/plan/1048871"
"5","•","LOLAS","FIX","-","35,000 / 10,668","-35.67639 / -64.79694","12  / 341 nm","","https://flightplandatabase.com/plan/1048871"
"6","•","OSA","VOR","-","35,000 / 10,668","-36.58372 / -64.27283","60  / 401 nm","SANTA ROSA VOR-DME","https://flightplandatabase.com/plan/1048871"
"7","•","OGLER","FIX","W67 (AWY-LO)","35,000 / 10,668","-36.98028 / -63.89250","30  / 431 nm","","https://flightplandatabase.com/plan/1048871"
"8","•","AKNOS","FIX","W67 (AWY-LO)","35,000 / 10,668","-38.00278 / -62.88444","77  / 509 nm","","https://flightplandatabase.com/plan/1048871"
"9","•","BCA","VOR","W67 (AWY-LO)","35,000 / 10,668","-38.72000 / -62.15833","54  / 564 nm","BAHIA BLANCA VOR-DME","https://flightplandatabase.com/plan/1048871"
"10","•","PADEX","FIX","W18 (AWY-LO)","35,000 / 10,668","-39.59028 / -62.49306","54  / 619 nm","","https://flightplandatabase.com/plan/1048871"
"11","•","IREMO","FIX","-","35,000 / 10,668","-39.86972 / -61.91472","31  / 650 nm","","https://flightplandatabase.com/plan/1048871"
"12","•","KORGA","FIX","-","35,000 / 10,668","-40.08500 / -61.46194","24  / 675 nm","","https://flightplandatabase.com/plan/1048871"
"13","•","EKISO","FIX","-","35,000 / 10,668","-40.92000 / -59.63944","97  / 772 nm","","https://flightplandatabase.com/plan/1048871"
"14","•","GELED","FIX","-","35,000 / 10,668","-41.12028 / -59.12972","26  / 798 nm","","https://flightplandatabase.com/plan/1048871"
"15","•","BOGOR","FIX","-","35,000 / 10,668","-41.16583 / -59.02611","5  / 803 nm","","https://flightplandatabase.com/plan/1048871"
"16","•","MIPAT","FIX","UT103 (AWY-HI)","35,000 / 10,668","-42.99972 / -59.00083","110  / 914 nm","","https://flightplandatabase.com/plan/1048871"
"17","•","LOLAN","FIX","UT103 (AWY-HI)","35,000 / 10,668","-46.00000 / -58.83417","180  / 1094 nm","","https://flightplandatabase.com/plan/1048871"
"18","•","4800S05500W","LATLON","-","35,000 / 10,668","-48.00000 / -55.00000","197  / 1292 nm","","https://flightplandatabase.com/plan/1048871"
"19","•","5000S05000W","LATLON","-","35,000 / 10,668","-50.00000 / -50.00000","230  / 1522 nm","","https://flightplandatabase.com/plan/1048871"
"20","•","5200S04500W","LATLON","-","35,000 / 10,668","-52.00000 / -45.00000","223  / 1746 nm","","https://flightplandatabase.com/plan/1048871"
"21","•","5400S04000W","LATLON","-","35,000 / 10,668","-54.00000 / -40.00000","216  / 1963 nm","","https://flightplandatabase.com/plan/1048871"
"22","•","5500S03500W","LATLON","-","35,000 / 10,668","-55.00000 / -35.00000","184  / 2147 nm","","https://flightplandatabase.com/plan/1048871"
"23","•","5600S03000W","LATLON","-","35,000 / 10,668","-56.00000 / -30.00000","180  / 2328 nm","","https://flightplandatabase.com/plan/1048871"
"24","•","5700S02500W","LATLON","-","35,000 / 10,668","-57.00000 / -25.00000","176  / 2504 nm","","https://flightplandatabase.com/plan/1048871"
"25","•","5800S02000W","LATLON","-","35,000 / 10,668","-58.00000 / -20.00000","172  / 2676 nm","","https://flightplandatabase.com/plan/1048871"
